0|-6088|-1333|99503,54005,4229,93874
1|-8990|1114|76348,71666,43792,11763
2|-290|6285|63670,20074
3|4735|5985|61934,56879,97726,14267,78725,82650,94866,10045,52836,98922
4|-2948|-602|540,50535,8505,68674,25378
5|7975|5104|20249,88892,44432,88775,81081,16744,13431,26675,72344,71472,80737,94435,54996
6|8525|-9005|15104,61870,46025,7831,23259
7|-7427|4411|78397
8|8568|-1334|71929
9|2541|-4798|5965,46666,55082,83214,93333
10|2843|-141|67842,2991,18413,51498,86296,74778,75642,59549,80852,40135,84294,87591,6380,11178
11|-701|-9662|15610,97840,76067
12|-41|-7154|38670,4509
13|7961|6949|45414
14|1204|8967|81868,19290,16962,22454,82809
15|-3550|9989|61661,30217,33342,4769,3629,77745,76021
16|9530|-8276|36558
17|-8213|-3612|86228,86476,26979,83124,20656,90806,94579,60751,7848
18|5148|1338|48826,79015,77303,54663,63066,67168,57577,97986,69629,67005,57815,53187,76739,46437,78473,54077,54249,1611,7548
19|5824|-7238|39589,94341,39509,65583,52441,18032,73694,62290
20|-7030|-3997|91061,24710,56211,14606,92455,85589,82646,52913,78679,41702,36460,20168,78034,33868,69552,82511,33041,9737,80541,4650
21|4622|-2081|36556,92968,53202,71465,50765,54484,39506,11720,2221,45033,93474,95287,98215,78568
22|1032|9687|1603,38581,84284,60848,95827,1164,75569,59908,71088
23|9895|1890|61555,60473,69956,83072
24|5892|2670|8295,93153,57639,33192
25|750|2996|31742,3009,43140,41690,31104,41193,76457,96669,42986,24881
26|2993|7111|55300,27257,80907,94460,25452,19692,8822,65414,60987,33060,82114,55250,89209,94010,69549,28647
27|-9186|4053|36738,320,37647,65022,24062,10553,98594,95440,42594,29743,52687,59970,99112,63239,28101,91333,81735
28|9367|-9328|42699,2164
29|-8846|-3137|82843,73460,48816,67778,93518
30|8324|7785|20894,87890,52480,37093,73590,12545,93635,59931,42665,87233,14796,31237,16704,82313,99019,82858,89948,56135,5443,61874
31|-5219|-1915|54012,63916,7474,88837,26850,26483,57882,53894,26860,88831,97244,30544,11871,77699
32|-7053|7986|90114,92649
33|5574|6801|47425,5476,3308,85435,4100,66939,73935,25995,19850,25920,99984,83511,92681,62334,31643,28860
34|9208|6184|23973,45005,48256,46739,86062,35753,6036,15805,98401,17551,692,4832,4613,91469
35|9262|-2770|97299,77037,58018,56398,66512,68576,59816,40535,14902,855,6632,31961,53910,43348,96150,34910,98901,83010,10817
36|2841|-222|45108,44393,32357,61363,69722,97272,69630,5698,49387,73242,21162,15236,34450,7241,86212,15643,4316
37|-7768|-3161|62348,98305,64157,4470,33353,45884,79429,3791,52126,72457,2251,82641,1791,21822,93796,7893
38|5236|-8621|52905,44680,96654,86675,69240,98946,54117,91147,41660,79693
39|-694|272|97511,46668,57135,80506,30593,23656,20662,12512,19419,40638,11040,86472,81933,65930,45146,97172,3447,66746,71451
40|-7049|-3930|21440,26557,59606,33307,70963,7661,88569,93107,99358,10039,13323,91693,66191,88034,6280,5457,15321,21745,52047,78134
41|-8943|8533|81283
42|-1783|3453|6996,41864,58207,14721,20745,24094,1773,50670,24401,70208,80353,69954,70954,87062,23828,9542,22932,35087
